"Participant","HEP_Cluster_RestingState_AF8","HEP_Cluster_RestingState_AF7","HEP_Cluster_HCT_AF8","HEP_Cluster_HCT_AF7"
"sub-01","k2","k2","k2","k1"
"sub-02","k1","k1","k2","k1"
"sub-03","k1","k2",NA,NA
"sub-04","k1","k2","k2","k1"
"sub-05","k2","k2","k1","k1"
"sub-07","k1","k2","k1","k1"
"sub-08","k2","k2","k1","k2"
"sub-09","k2","k2","k1","k1"
"sub-11","k1","k2","k2","k1"
"sub-12","k1","k2","k1","k2"
"sub-13","k1","k2","k2","k2"
"sub-15","k2","k2","k2","k2"
"sub-16","k1","k2","k2","k1"
"sub-17","k1","k1","k1","k2"
"sub-18","k1","k1","k2","k1"
"sub-19","k1","k2","k1","k1"
"sub-21","k1","k2","k2","k1"
"sub-22","k2","k2","k2","k1"
"sub-23","k2","k2","k1","k2"
"sub-24","k1","k2","k1","k1"
"sub-25","k1","k2","k1","k2"
"sub-26","k2","k2","k1","k1"
"sub-27","k2","k2","k1","k1"
"sub-28","k1","k2","k1","k2"
"sub-29","k2","k2","k1","k2"
"sub-31","k2","k2","k1","k2"
"sub-32","k1","k2","k1","k1"
"sub-33","k1","k2","k2","k1"
"sub-34","k2","k2","k2","k1"
"sub-35","k1","k2","k1","k2"
"sub-36","k1","k1","k2","k1"
"sub-37","k2","k2","k2","k1"
"sub-38","k1","k1","k1","k2"
"sub-39","k1","k2","k1","k1"
